,video_time_stamp,blink_counter,Emotion,list_of_emotions
42,00:00:42,61,fear,"{'emotion': {'angry': 33.553083711494956, 'disgust': 15.20804283523049, 'fear': 48.379117443666765, 'happy': 0.09156294472510282, 'sad': 0.17967667849863428, 'surprise': 2.4103830489059628, 'neutral': 0.17813141662550966}, 'dominant_emotion': 'fear'}"
43,00:00:43,61,angry,"{'emotion': {'angry': 92.97939497109621, 'disgust': 0.2313843134870716, 'fear': 3.2278539674195033, 'happy': 0.12870219837589253, 'sad': 0.7379085265343504, 'surprise': 1.3552879791133392, 'neutral': 1.3394650870242766}, 'dominant_emotion': 'angry'}"
44,00:00:44,61,sad,"{'emotion': {'angry': 4.545482736798009e-06, 'disgust': 4.9306001532879335e-11, 'fear': 0.0004087878973399281, 'happy': 0.0017731062758643149, 'sad': 99.99778270747868, 'surprise': 3.7979080884610146e-13, 'neutral': 2.540949973947686e-05}, 'dominant_emotion': 'sad'}"
45,00:00:45,64,angry,"{'emotion': {'angry': 99.79502558708191, 'disgust': 0.0015208282093226444, 'fear': 0.09240869549103081, 'happy': 0.0001774393922460149, 'sad': 0.1074643456377089, 'surprise': 0.0004781985353474738, 'neutral': 0.0029229560823296197}, 'dominant_emotion': 'angry'}"
46,00:00:46,66,angry,"{'emotion': {'angry': 40.26925563812256, 'disgust': 0.015258313214872032, 'fear': 23.7338587641716, 'happy': 5.5887144058942795, 'sad': 9.769724309444427, 'surprise': 0.004681858263211325, 'neutral': 20.61850279569626}, 'dominant_emotion': 'angry'}"
47,00:00:47,68,neutral,"{'emotion': {'angry': 0.818890891969204, 'disgust': 0.0001539799654892704, 'fear': 0.46364222653210163, 'happy': 24.737906455993652, 'sad': 0.055858842097222805, 'surprise': 12.276401370763779, 'neutral': 61.64714694023132}, 'dominant_emotion': 'neutral'}"
48,00:00:48,70,angry,"{'emotion': {'angry': 34.134532110039245, 'disgust': 10.30706662619908, 'fear': 23.11211354876918, 'happy': 0.18803073239320306, 'sad': 7.745568632551269, 'surprise': 8.300989365695639, 'neutral': 16.211697901689757}, 'dominant_emotion': 'angry'}"
49,00:00:49,71,surprise,"{'emotion': {'angry': 0.1072937622666359, 'disgust': 8.815934648964685e-06, 'fear': 2.5621911510825157, 'happy': 3.3011022955179214, 'sad': 0.026159384287893772, 'surprise': 94.0025806427002, 'neutral': 0.0006635345926042646}, 'dominant_emotion': 'surprise'}"
50,00:00:50,71,angry,"{'emotion': {'angry': 33.91372965737935, 'disgust': 3.2217020450615844e-05, 'fear': 33.00595080923448, 'happy': 0.003395773860657638, 'sad': 17.89343868415817, 'surprise': 0.01087298644519622, 'neutral': 15.172581693241797}, 'dominant_emotion': 'angry'}"
51,00:00:51,73,angry,"{'emotion': {'angry': 95.05568117235191, 'disgust': 0.2900309102255649, 'fear': 1.449557293925124, 'happy': 0.11302214789522576, 'sad': 0.4645761845008245, 'surprise': 2.381084442501333, 'neutral': 0.24604910588557158}, 'dominant_emotion': 'angry'}"
52,00:00:52,73,fear,"{'emotion': {'angry': 0.01850959815783426, 'disgust': 0.001277867704629898, 'fear': 85.44028401374817, 'happy': 0.46094167046248913, 'sad': 0.01093506725737825, 'surprise': 14.06729519367218, 'neutral': 0.0007548067060270114}, 'dominant_emotion': 'fear'}"
53,00:00:53,74,angry,"{'emotion': {'angry': 45.159682631492615, 'disgust': 38.57210874557495, 'fear': 14.019066095352173, 'happy': 0.04918426275253296, 'sad': 1.6670715063810349, 'surprise': 0.32494510523974895, 'neutral': 0.2079426310956478}, 'dominant_emotion': 'angry'}"
54,00:00:54,77,happy,"{'emotion': {'angry': 0.1523854909464717, 'disgust': 1.961058919419667e-10, 'fear': 0.07030751439742744, 'happy': 55.630481243133545, 'sad': 44.14629936218262, 'surprise': 1.0788660631533276e-06, 'neutral': 0.0005232120656728512}, 'dominant_emotion': 'happy'}"
55,00:00:55,78,fear,"{'emotion': {'angry': 5.995960145947942, 'disgust': 5.916883031540098, 'fear': 56.63583020185412, 'happy': 0.17588316579956806, 'sad': 0.1006420878144853, 'surprise': 31.052567425523247, 'neutral': 0.12223723607434249}, 'dominant_emotion': 'fear'}"
56,00:00:56,79,angry,"{'emotion': {'angry': 82.41809816144726, 'disgust': 5.9113433007524876e-12, 'fear': 0.04227616378446206, 'happy': 0.00162597115093441, 'sad': 17.537995572329095, 'surprise': 3.826344505769761e-12, 'neutral': 2.4978485633159773e-06}, 'dominant_emotion': 'angry'}"
57,00:00:57,80,sad,"{'emotion': {'angry': 2.4597184732556343, 'disgust': 1.1824161094686758e-08, 'fear': 0.035433052107691765, 'happy': 23.273970186710358, 'sad': 74.2150068283081, 'surprise': 2.1566691141283734e-09, 'neutral': 0.01587615261087194}, 'dominant_emotion': 'sad'}"
58,00:00:58,80,fear,"{'emotion': {'angry': 17.27394014596939, 'disgust': 0.31221138779073954, 'fear': 80.16390204429626, 'happy': 0.07830585236661136, 'sad': 0.07056245813146234, 'surprise': 2.0059609785676003, 'neutral': 0.09512142860330641}, 'dominant_emotion': 'fear'}"
59,00:00:59,80,surprise,"{'emotion': {'angry': 0.3173426492139697, 'disgust': 0.0012980347491975408, 'fear': 0.3990103956311941, 'happy': 0.01637739042052999, 'sad': 0.0012002396942989435, 'surprise': 99.26401972770691, 'neutral': 0.0007499334969907068}, 'dominant_emotion': 'surprise'}"
60,00:01:00,81,surprise,"{'emotion': {'angry': 13.179056265466658, 'disgust': 0.0004086077264609849, 'fear': 4.464633603139686, 'happy': 0.7367853593933154, 'sad': 3.9229600670385283, 'surprise': 75.94025421854803, 'neutral': 1.7558991678477325}, 'dominant_emotion': 'surprise'}"
61,00:01:01,83,neutral,"{'emotion': {'angry': 7.482556253671646, 'disgust': 0.004774805711349472, 'fear': 2.3709412664175034, 'happy': 0.41840714402496815, 'sad': 0.8372688665986061, 'surprise': 2.1244844421744347, 'neutral': 86.76156401634216}, 'dominant_emotion': 'neutral'}"
62,00:01:02,84,angry,"{'emotion': {'angry': 77.82266139984131, 'disgust': 0.25938646867871284, 'fear': 12.784464657306671, 'happy': 0.10494828457012773, 'sad': 0.21351051982492208, 'surprise': 8.793828636407852, 'neutral': 0.02120233839377761}, 'dominant_emotion': 'angry'}"
63,00:01:03,87,happy,"{'emotion': {'angry': 0.33465398009866476, 'disgust': 0.0001230166049026593, 'fear': 11.158596724271774, 'happy': 70.86105346679688, 'sad': 1.4410870149731636, 'surprise': 14.123527705669403, 'neutral': 2.0809590816497803}, 'dominant_emotion': 'happy'}"
64,00:01:04,90,disgust,"{'emotion': {'angry': 0.4265735180123757, 'disgust': 92.92079168086002, 'fear': 4.6285341458639, 'happy': 0.00011511855977406406, 'sad': 0.003364032655067826, 'surprise': 1.972725732488974, 'neutral': 0.04790218366844557}, 'dominant_emotion': 'disgust'}"
65,00:01:05,90,angry,"{'emotion': {'angry': 84.00361442587462, 'disgust': 2.43269468858587e-05, 'fear': 0.20963092187082302, 'happy': 1.1596749296590645, 'sad': 0.13095412485400587, 'surprise': 12.291665362814985, 'neutral': 2.2044415968323707}, 'dominant_emotion': 'angry'}"
66,00:01:06,91,surprise,"{'emotion': {'angry': 0.06346073350869119, 'disgust': 0.0035748500522458926, 'fear': 23.076923191547394, 'happy': 0.1311332918703556, 'sad': 0.03183425578754395, 'surprise': 76.47613883018494, 'neutral': 0.21693636663258076}, 'dominant_emotion': 'surprise'}"
67,00:01:07,92,sad,"{'emotion': {'angry': 0.026132885250262916, 'disgust': 5.276298671520914e-12, 'fear': 0.024903114535845816, 'happy': 0.05645459168590605, 'sad': 99.85620379447937, 'surprise': 9.915725879272586e-09, 'neutral': 0.036307392292656004}, 'dominant_emotion': 'sad'}"
